pitch,path,attach,release
58,1st-violins-piz-rr1-a#3-PB.wav,0.0,0.6
70,1st-violins-piz-rr1-a#4-PB.wav,0.0,0.6
82,1st-violins-piz-rr1-a#5-PB.wav,0.0,0.6
94,1st-violins-piz-rr1-a#6-PB.wav,0.0,0.6
61,1st-violins-piz-rr1-c#4-PB.wav,0.0,0.6
73,1st-violins-piz-rr1-c#5-PB.wav,0.0,0.6
85,1st-violins-piz-rr1-c#6-PB.wav,0.0,0.6
64,1st-violins-piz-rr1-e4-PB.wav,0.0,0.6
76,1st-violins-piz-rr1-e5-PB.wav,0.0,0.6
88,1st-violins-piz-rr1-e6-PB.wav,0.0,0.6
55,1st-violins-piz-rr1-g3-PB.wav,0.0,0.6
67,1st-violins-piz-rr1-g4-PB.wav,0.0,0.6
79,1st-violins-piz-rr1-g5-PB.wav,0.0,0.6
91,1st-violins-piz-rr1-g6-PB.wav,0.0,0.6
